,dz_gb,N2_glob,zs_sig0,zs_sig1,zs_sig2,zs_sig3,zs_sig4,SSD_mean,SST_mean,SSS_mean,OBC,OHC,OSC
1992-01-16 18:00:00,0.6811033839424999,8.30162626070342e-06,0.5158986629404587,0.6047927421662889,0.6911695082983018,0.774648219030151,0.8549212515684248,24.373688948280613,18.38715,34.728676,1.3185064995487338e+19,-3.5894531e+19,-3.7621165e+17
1992-02-15 12:00:00,0.6813566028732573,8.380979765429665e-06,0.5160865015194066,0.6050237743138748,0.6914425319221472,0.7749618672698589,0.8552740303868251,24.347417974962166,18.504383,34.740566,1.3185065597469807e+19,-3.58897e+19,-3.76046e+17
1992-03-16 12:00:00,0.6818504467285181,8.367771198464204e-06,0.5165465728226131,0.6055010073080376,0.6919364345198611,0.7754719200653629,0.8557997200329062,24.353764273620683,18.455963,34.75195,1.3185068110875929e+19,-3.5885733e+19,-3.75917e+17
1992-04-16 00:00:00,0.6825617670438877,8.372455079799294e-06,0.5172406431251628,0.6061985024039482,0.6926372230506296,0.7761759180833285,0.856506924138029,24.35013246786215,18.388754,34.750633,1.3185072229439015e+19,-3.588185e+19,-3.7585386e+17
1992-05-16 12:00:00,0.6820518841681333,8.292691761846442e-06,0.5168122051112382,0.6057135286460968,0.6920973058475914,0.7755828826275065,0.8558627766490363,24.378981590642024,18.256243,34.747643,1.3185069606650583e+19,-3.588852e+19,-3.7587214e+17
1992-06-16 00:00:00,0.6805067669003607,8.207007325428424e-06,0.5154410708624763,0.6042304110852961,0.6905053898527768,0.7738857653530351,0.8540643406587578,24.40939415390683,18.17119,34.74196,1.3185061259348271e+19,-3.590474e+19,-3.759769e+17
1992-07-16 12:00:00,0.6788136117370638,8.202506040579407e-06,0.5139725028561337,0.6026163992214337,0.6887500672431263,0.7719938108702238,0.8520408236827682,24.407686375114842,18.137287,34.715714,1.318505219267071e+19,-3.5924623e+19,-3.761809e+17
1992-08-16 12:00:00,0.6777680493680831,8.254296548734746e-06,0.5131118252763309,0.601633298492902,0.6876480166206039,0.7707767770102758,0.8507131523227155,24.38207977456718,18.162054,34.689354,1.3185046754188046e+19,-3.593929e+19,-3.7632974e+17
1992-09-16 00:00:00,0.6778294446760567,8.214862527079834e-06,0.5132299095702869,0.6017129341146238,0.6876902809807278,0.7707829305418652,0.8506846189171132,24.393981217152007,18.098825,34.691174,1.3185047284657918e+19,-3.5942162e+19,-3.763696e+17
1992-10-16 12:00:00,0.6783523023916472,8.111162987946442e-06,0.5137059355022252,0.6022181703529336,0.6882238873827673,0.7713439605260389,0.8512720571162806,24.435534917053367,17.940964,34.703323,1.3185050180740321e+19,-3.5937137e+19,-3.7634417e+17
1992-11-16 00:00:00,0.6787294360654749,8.04407881288114e-06,0.5139694837552585,0.6025586765864931,0.6886391920813332,0.7718315575239412,0.8518291505160095,24.466474430327896,17.884445,34.720665,1.3185051881894504e+19,-3.592917e+19,-3.7630586e+17
1992-12-16 12:00:00,0.6790127235925761,8.085398910520293e-06,0.514119657957875,0.602802587356564,0.6889742326482383,0.7722546871734532,0.8523369549435006,24.45582067406499,18.013725,34.732788,1.3185052695175717e+19,-3.5920944e+19,-3.762925e+17
1993-01-16 12:00:00,0.6794648792905641,8.20325484791379e-06,0.5144235417048035,0.6032097708708678,0.6894818439351095,0.7728593984166905,0.8530350563447961,24.414257485051877,18.272903,34.742886,1.3185054220999205e+19,-3.591147e+19,-3.7622965e+17
1993-02-15 00:00:00,0.6802563860787627,8.287547570129839e-06,0.5150963514071158,0.6039595951875374,0.6903065116727505,0.7737564452623581,0.8540018013566154,24.386339941514933,18.410225,34.755337,1.3185058050291177e+19,-3.590198e+19,-3.7611633e+17
