time,depth,N2_mean,CoM
1992-01-16 18:00:00,10.0,7.161568622079595e-06,0.688002903224714
1992-02-15 12:00:00,10.0,7.228508821771212e-06,0.6881688605061151
1992-03-16 12:00:00,10.0,7.212944887640914e-06,0.688121451100164
1992-04-16 00:00:00,10.0,7.22103431588384e-06,0.6881247810028237
1992-05-16 12:00:00,10.0,7.1474291739625185e-06,0.6879400671192688
1992-06-16 00:00:00,10.0,7.068545756143525e-06,0.6877589419657049
1992-07-16 12:00:00,10.0,7.069796052654624e-06,0.6877641140585402
1992-08-16 12:00:00,10.0,7.13082248234532e-06,0.6879108848864347
1992-09-16 00:00:00,10.0,7.1007989145207685e-06,0.687832275417147
1992-10-16 12:00:00,10.0,6.999897127478111e-06,0.6875709646906804
1992-11-16 00:00:00,10.0,6.926680619602313e-06,0.6873895548794945
1992-12-16 12:00:00,10.0,6.956133638438262e-06,0.6874750432451725
1993-01-16 12:00:00,10.0,7.061599461024925e-06,0.6877571566854948
1993-02-15 00:00:00,10.0,7.133262415198064e-06,0.6879366421064156
1993-03-16 12:00:00,10.0,7.18613827280276e-06,0.6880531824364778
1993-04-16 00:00:00,10.0,7.188641910934253e-06,0.6880436316648608
1993-05-16 12:00:00,10.0,7.119994083907188e-06,0.6878737635145598
1993-06-16 00:00:00,10.0,7.04269042612726e-06,0.6876959299349777
1993-07-16 12:00:00,10.0,7.052453052217393e-06,0.6877277400889289
1993-08-16 12:00:00,10.0,7.100666653724789e-06,0.6878506633937677
1993-09-16 00:00:00,10.0,7.134917531899062e-06,0.6879227003844124
1993-10-16 12:00:00,10.0,7.048270898242645e-06,0.687694950947846
1993-11-16 00:00:00,10.0,7.014017805395651e-06,0.6876059991265794
1993-12-16 12:00:00,10.0,7.018434469864352e-06,0.6876261895219463
1994-01-16 12:00:00,10.0,7.094711538949561e-06,0.687831460181544
1994-02-15 00:00:00,10.0,7.1508387787272575e-06,0.6879721941919963
1994-03-16 12:00:00,10.0,7.199224391010454e-06,0.6880816941900421
1994-04-16 00:00:00,10.0,7.176273991506379e-06,0.6880112156162836
1994-05-16 12:00:00,10.0,7.101748269098685e-06,0.6878287521500455
1994-06-16 00:00:00,10.0,7.023015850801039e-06,0.6876486440637017
1994-07-16 12:00:00,10.0,7.061413941215946e-06,0.6877501686001876
1994-08-16 12:00:00,10.0,7.171631388977187e-06,0.6880236707915659
1994-09-16 00:00:00,10.0,7.182576755655606e-06,0.6880412840517113
1994-10-16 12:00:00,10.0,7.136539716806651e-06,0.6879157313523474
1994-11-16 00:00:00,10.0,7.080298549441347e-06,0.687770595962334
1994-12-16 12:00:00,10.0,7.079646772180598e-06,0.6877817091229735
1995-01-16 12:00:00,10.0,7.160520978299789e-06,0.6879926891335973
1995-02-15 00:00:00,10.0,7.2537238951672285e-06,0.6882254565821301
1995-03-16 12:00:00,10.0,7.281054522385598e-06,0.6882836178377795
1995-04-16 00:00:00,10.0,7.249724477481416e-06,0.6881964800420727
1995-05-16 12:00:00,10.0,7.164758107500904e-06,0.687989359961475
1995-06-16 00:00:00,10.0,7.110796005706901e-06,0.6878680805499601
1995-07-16 12:00:00,10.0,7.168946808851408e-06,0.6880198262949115
1995-08-16 12:00:00,10.0,7.217275269176527e-06,0.6881403453701083
1995-09-16 00:00:00,10.0,7.1937434603121155e-06,0.6880723057288568
1995-10-16 12:00:00,10.0,7.116536683194483e-06,0.6878683268648123
1995-11-16 00:00:00,10.0,7.047710899104318e-06,0.6876939230181517
1995-12-16 12:00:00,10.0,7.05753723151901e-06,0.6877264503074617
1996-01-16 12:00:00,10.0,7.145697397547625e-06,0.6879553575145699
1996-02-15 12:00:00,10.0,7.243016726065678e-06,0.688197880400052
1996-03-16 12:00:00,10.0,7.263830610134661e-06,0.6882394243010743
1996-04-16 00:00:00,10.0,7.221505331732509e-06,0.6881272313830434
1996-05-16 12:00:00,10.0,7.147553569465307e-06,0.6879477982201309
1996-06-16 00:00:00,10.0,7.097381526392206e-06,0.6878341628656411
1996-07-16 12:00:00,10.0,7.128094477198531e-06,0.6879172343388982
1996-08-16 12:00:00,10.0,7.199024384391699e-06,0.6880963409807852
1996-09-16 00:00:00,10.0,7.193056704671627e-06,0.6880717316664339
1996-10-16 12:00:00,10.0,7.075015519185128e-06,0.6877694408101009
1996-11-16 00:00:00,10.0,6.99877469944663e-06,0.6875810641656885
1996-12-16 12:00:00,10.0,7.0099529741355444e-06,0.6876216021576246
1997-01-16 12:00:00,10.0,7.09344864195108e-06,0.6878417532313085
1997-02-15 00:00:00,10.0,7.184145465917195e-06,0.6880697361745703
1997-03-16 12:00:00,10.0,7.250685442713971e-06,0.6882236660097535
1997-04-16 00:00:00,10.0,7.253107672833758e-06,0.6882153181937273
1997-05-16 12:00:00,10.0,7.206742849549368e-06,0.6881016838602357
1997-06-16 00:00:00,10.0,7.179322145574601e-06,0.688042671819968
1997-07-16 12:00:00,10.0,7.254038665677268e-06,0.6882291413377496
1997-08-16 12:00:00,10.0,7.336449218795148e-06,0.6884346667235769
1997-09-16 00:00:00,10.0,7.361222380365077e-06,0.688487109001888
1997-10-16 12:00:00,10.0,7.299946343026527e-06,0.6883177007914447
1997-11-16 00:00:00,10.0,7.261469857480021e-06,0.688217545685387
1997-12-16 12:00:00,10.0,7.300434843955432e-06,0.6883246652575894
1998-01-16 12:00:00,10.0,7.337561543073505e-06,0.6884324487734294
1998-02-15 00:00:00,10.0,7.400373329551002e-06,0.6885919294563546
1998-03-16 12:00:00,10.0,7.437461800937502e-06,0.6886752021246265
1998-04-16 00:00:00,10.0,7.404527196801777e-06,0.6885813658369734
1998-05-16 12:00:00,10.0,7.331189541379611e-06,0.688404455190771
1998-06-16 00:00:00,10.0,7.23344101328181e-06,0.6881782045917064
1998-07-16 12:00:00,10.0,7.244018635721214e-06,0.688219559635557
1998-08-16 12:00:00,10.0,7.318643395660363e-06,0.6884048535536607
1998-09-16 00:00:00,10.0,7.264730564471138e-06,0.6882595396939065
1998-10-16 12:00:00,10.0,7.152465031987609e-06,0.6879707199003198
1998-11-16 00:00:00,10.0,7.079118228731535e-06,0.6877870037444415
1998-12-16 12:00:00,10.0,7.050885567519366e-06,0.6877219489237588
1999-01-16 12:00:00,10.0,7.108463509806316e-06,0.6878801802037847
1999-02-15 00:00:00,10.0,7.179973437273567e-06,0.688058750363456
1999-03-16 12:00:00,10.0,7.247886398318519e-06,0.688216101172491
1999-04-16 00:00:00,10.0,7.19682530005516e-06,0.6880807644215886
1999-05-16 12:00:00,10.0,7.107545357618973e-06,0.6878609646659943
1999-06-16 00:00:00,10.0,7.043454456897667e-06,0.6877125827541426
1999-07-16 12:00:00,10.0,7.083867888851944e-06,0.687819333961862
1999-08-16 12:00:00,10.0,7.166614971920207e-06,0.6880234338392686
1999-09-16 00:00:00,10.0,7.152144979732205e-06,0.6879767742812091
1999-10-16 12:00:00,10.0,7.05624894524866e-06,0.687728450718152
1999-11-16 00:00:00,10.0,6.989469726756157e-06,0.6875614123073299
1999-12-16 12:00:00,10.0,6.987628179972032e-06,0.687564262470051
2000-01-16 12:00:00,10.0,7.101563325640953e-06,0.6878590172936324
2000-02-15 12:00:00,10.0,7.183074585534049e-06,0.6880612359692346
2000-03-16 12:00:00,10.0,7.215974622626752e-06,0.6881347544225984
2000-04-16 00:00:00,10.0,7.217655808614143e-06,0.6881280360981163
2000-05-16 12:00:00,10.0,7.1347379900302065e-06,0.687928073650706
2000-06-16 00:00:00,10.0,7.037547295299524e-06,0.6876988827956747
